username,followers_count,verified
JoiaribElnatan,16056,False
LuisGyG,64264,True
GiXnoxD,416,False
anabel0944,180,False
MarSt4y,16,False
hyyunmei,641,False
Reuters,24170321,True
idysilk,316,False
meinOddity,48,False
andresf_salgado,118,False
SamsungCO,282571,True
desdemimacbook,36,False
Mega_avshalom,5,False
fisio_yos,278,False
Tedy_vargas,196,False
josegarban,480,False
maritavva,84,False
santiag30685072,66,False
orange_es,161091,True
SamsungChile,399351,True
ritchie_greg,274,False
SamsungPY,30188,True
ghonsilver47,4,False
AnimeDanny19,85501,False
UrbanTecno,88505,False
guzman_belmar,117,False
NiusDiario,69396,True
zzapatamilagros,325,False
itz_ander_xd,202,False
Cthulhu_ar,339,False
ladriguruok,10397,False
mileborda,822,False
therealbuni,45309,False
INSUCOPY,851,False
ElCompradorLV,229,False
tuexperto,17037,True
ivanumansky,22,False
SamsungArg,314107,True
AGUSTINSANCHE22,250,False
NavasCenter,696,False
heypipito,3011,False
medicenjuanin,163,False
selaromselarom,8,False
Yahoo,1418329,True
Iangt1420,14,False
EGInformatico,71918,True
Bbecsp,77,False
KekoFranc0,372,False
valenpombo_,153,False
SorpresitaX,1143,False
Ch_Enterprises,407,False
solucioneslatin,44,False
LiceoCientifico,388,False
Ceniamartinez8,818,False
maauricioAS,780,False
PIOrealtor,1258,False
unocero,236119,True
AdonayHndz,172,False
isa_marcial,75893,False
lolamora029,86,False
MTB___life,860,False
xJulio89x,33,False
irvinrios20,171,False
ParamountPlusLA,35521,True
panicoenlondres,7386,False
nicki_ceballos,1910,False
jowifromdablock,3591,False
AdrianDolbuck,807,False
angel_nio1,538,False
clazeto,16855,False
vivolavida_17,0,False
josegisbert,190,False
AlonsoPazzi,169,False
JORGDUARDOJESUS,124,False
verolist,14799,False
mcfaby_l,580,False
rocionahle,496197,True
alvaro_delgado,272442,False
paezvarela,53078,False
SxcCrypto,147,False
ClassificadoD,79,False
Nataliadominan1,761,False
ahorrobanco,673,False
astriruiz81,258,False
SamsungMexico,761622,True
CharlyPi,25383,True
SETEMCAMOBILE,387,False
ElectrOfertitas,31764,False
Fadrox2,1,False
elhackernet,48732,False
BastiianRoss,1676,False
EdwinVsquez17,50,False
IversonLee1905,1742,False
ChavezErtugrul,1614,False
NicolasMaduro,4022220,True
csnwz_,3248,False
m__casti,3647,False
botxboxseriesx,1568,False
chalioDMX,79,False
liverpoolmexico,713921,True
puntogris,428,False
changomorrino,1859,False
IncidenteCriti2,363,False
JoignantAlfredo,31797,False
fernando_atria,174862,True
johncloro,1070,False
TopesdGama,495329,True
